,Price,Location,History,Millage,Ratings,Year,Make,Model,Transmission,Fuel
509,"₦ 5,274,000","Kaduna SNB                                        ,Kaduna",Nigerian Used,"112,830Km",D,2010,Mercedes-Benz,Glk350,Automatic,Petrol
510,"₦ 3,818,000","Mainland 2 - SNB                                        ,Lagos",Foreign Used,"171,442Km",D,2007,Lexus,Is 350,Automatic,Petrol
511,"₦ 1,354,000","Port Harcourt - SNB                                        ,Port Harcourt",Nigerian Used,"114,085Km",,1999,Lexus,Rx 300,Automatic,Petrol
512,"₦ 2,810,000","Mainland 1 - SNB                                        ,Lagos",Foreign Used,"113,719Km",C,2009,Toyota,Corolla,Automatic,Petrol
513,"₦ 794,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"217,713Km",,1999,Toyota,4Runner,Automatic,Petrol
514,"₦ 1,578,000","Mainland 2 - SNB                                        ,Lagos",Nigerian Used,"127,603Km",E,2012,Volkswagen,Passat,Automatic,Petrol
515,"₦ 2,250,000","Mainland 2 - SNB                                        ,Lagos",Foreign Used,"204,581Km",D,2008,Toyota,Avalon,Automatic,Petrol
516,"₦ 1,690,000","Island - SNB                                        ,Lagos",Foreign Used,"6,918Km",D,2008,Mercedes-Benz,E350,Automatic,Petrol
517,"₦ 8,970,000","Mainland 1 - SNB                                        ,Lagos",Foreign Used,"13,993Km",E,2017,Toyota,Corolla,Automatic,Petrol
518,"₦ 4,826,000","Mainland 2 - SNB                                        ,Lagos",Foreign Used,"86,026Km",,2011,Lexus,Es 350,Automatic,Petrol
519,"₦ 2,138,000","SNB                                        ,Owerri",Foreign Used,"87,289Km",D,2007,Mazda,Cx-7,Automatic,Petrol
520,"₦ 5,498,000","SNB                                        ,Owerri",Foreign Used,"159,336Km",C,2009,Mercedes-Benz,Ml350,Automatic,Petrol
521,"₦ 458,000","Abuja - SNB                                        ,Abuja",Nigerian Used,1996,,NG-713926,Honda,Accord,Automatic,Petrol
522,"₦ 1,697,500","Abuja - SNB                                        ,Abuja",Nigerian Used,"167,308Km",E,2005,Mercedes-Benz,E320,Automatic,Petrol
523,"₦ 1,472,500","Abuja - SNB                                        ,Abuja",Nigerian Used,2007,C,NG-713758,Honda,Civic,Automatic,Petrol
524,"₦ 3,090,000",Mainland 3 - SNB,Foreign Used,"110,126Km",E,2010,Toyota,Corolla,Automatic,Petrol
525,"₦ 11,485,000","Mainland 1 - SNB                                        ,Lagos",Nigerian Used,"13,454Km",,2018,Toyota,Highlander,Automatic,Petrol
