Id,city,History,Millage,Ratings,Year,Make,Model,Transmission,Age,Price
200,Lagos,foreign,85448,4.9,2009,Toyota,Camry,Automatic,11,2775000
201,Lagos,foreign,102901,5,2018,Toyota,Camry,Automatic,2,12115000
202,Lagos,foreign,99268,4.9,2007,Toyota,Yaris,Automatic,13,2085000
203,Lagos,foreign,105697,5,2013,Toyota,Corolla,Automatic,7,3535000
204,Ogun,foreign,149618,4.9,2009,Nissan,Altima,Automatic,11,2085000
205,Lagos,foreign,84746,5,2007,Toyota,RAV 4,Automatic,13,3645000
206,Lagos,foreign,73677,5,2015,Toyota,Corolla,Automatic,5,5735000
207,Lagos,foreign,199738,4.7,2006,Toyota,Corolla,Automatic,14,2545000
208,Lagos,foreign,42526,5,2013,Toyota,RAV 4,Automatic,7,3755000
210,Lagos,foreign,35473,4.9,2016,Toyota,Corolla,Automatic,4,7165000
211,Lagos,foreign,261406,4.9,2005,Infiniti,FX,Automatic,15,2660000
212,Lagos,foreign,54418,4.9,2012,GMC,Terrain,Automatic,8,6065000
213,Lagos,foreign,52373,4.9,2010,Chrysler,300C,Automatic,10,4635000
214,Lagos,foreign,40566,5,2011,Lexus,LS 460,Automatic,9,5405000
215,Lagos,foreign,104261,5,2004,Toyota,RAV 4,Automatic,16,3755000
216,Lagos,foreign,77316,5,2010,Toyota,Camry,Automatic,10,3865000
217,Lagos,local,280450,4.4,2008,Mitsubishi,Pajero,Automatic,12,1165000
218,Lagos,foreign,250500,4.9,2002,Nissan,Primera,Automatic,18,1395000
219,Lagos,local,709043,4.6,2010,Infiniti,FX,Automatic,10,3465000
220,Lagos,foreign,20940,5,2018,Lexus,LX 570,Automatic,2,55015000
221,Lagos,foreign,233102,4.8,2006,Lexus,GS 300,Automatic,14,3755000
222,Lagos,foreign,94972,4.8,2006,Mercedes-Benz,E 350,Automatic,14,2200000
223,Lagos,foreign,199513,4.7,2003,Toyota,Matrix,Automatic,17,1912500
224,Lagos,local,84607,4.5,2016,GAC,Gonow Other,Automatic,4,1740000
225,Lagos,foreign,23219,4.9,2016,Toyota,Corolla,Automatic,4,6615000
226,Lagos,local,111969,3.9,2003,Honda,Pilot,Automatic,17,820000
227,Lagos,foreign,19584,4.9,2017,Toyota,Corolla,Automatic,3,9365000
228,Lagos,foreign,40247,5,2017,Toyota,Corolla,Automatic,3,9365000
229,Lagos,foreign,85372,4.8,2013,Toyota,Camry,Automatic,7,5515000
230,Lagos,foreign,40574,4.9,2017,Toyota,Corolla,Automatic,3,9365000
231,Lagos,local,112578,4.5,2013,Hyundai,ix35,Automatic,7,1740000
232,Lagos,foreign,73587,5,2012,Toyota,Camry,Automatic,8,5405000
233,Lagos,local,191274,4.9,2005,Toyota,Camry,Automatic,15,1740000
234,Lagos,foreign,80188,4.9,2008,Toyota,Highlander,Automatic,12,5625000
235,Lagos,local,105285,4.4,2007,Toyota,Camry,Automatic,13,1475500
236,Lagos,foreign,160421,5,2006,Lexus,GS 300,Automatic,14,2947500
237,Lagos,local,211084,4.8,2005,Honda,Pilot,Automatic,15,1050000
238,Lagos,foreign,125708,5,2007,Toyota,Corolla,Automatic,13,2602500
239,Lagos,foreign,122477,5,2011,Toyota,RAV 4,Automatic,9,3755000
240,Lagos,foreign,186704,4.9,2009,Toyota,Venza,Automatic,11,5515000
241,Lagos,local,121336,4.4,2001,Toyota,Sienna,Automatic,19,1050000
242,Lagos,foreign,151680,4.8,2009,Toyota,Highlander,Automatic,11,5735000
243,Lagos,foreign,88661,4.8,2013,Toyota,Avalon,Automatic,7,6505000
244,Lagos,foreign,139860,4.6,2005,Toyota,Tacoma,Automatic,15,5405000
245,Lagos,local,213009,4.8,2005,Honda,Accord,Automatic,15,1452500
246,Lagos,foreign,113260,4.7,2001,Lexus,ES 300,Automatic,19,1855000
247,Lagos,foreign,151729,4.9,2010,Toyota,Hiace,Automatic,10,6615000
248,Lagos,foreign,132042,4.9,2010,Acura,TSX,Automatic,10,3975000
249,Lagos,foreign,111271,5,1998,Jaguar,XJ8,Automatic,22,4195000
250,Lagos,foreign,186807,4.7,2006,Jeep,Cherokee,Automatic,14,2890000
251,Lagos,local,205290,4,1997,Toyota,Tacoma,Automatic,23,2257500
252,Lagos,local,149158,4.7,2005,Mitsubishi,Galant,Automatic,15,1510000
253,Lagos,foreign,56062,5,2015,Lexus,RX 350,Automatic,5,12115000
254,Lagos,foreign,140641,4.9,2009,Toyota,Sienna,Automatic,11,3235000
255,Lagos,foreign,26080,4.8,2018,Toyota,Camry,Automatic,2,8375000
256,Lagos,foreign,62047,4.7,2009,Toyota,Corolla,Automatic,11,3005000
257,Lagos,foreign,0,5,2008,Toyota,RAV 4,Automatic,12,3755000
259,Lagos,foreign,7051,4.9,2017,Toyota,Corolla,Automatic,3,7935000
260,Ogun,local,52301,4,2010,Volvo,XC60,Automatic,10,3465000
261,Lagos,local,182282,3.8,2008,Toyota,Corolla,Automatic,12,1280000
262,Lagos,local,97950,4.8,2011,Lexus,LX 570,Automatic,9,17065000
263,Lagos,local,64503,4.9,2014,Honda,CR-V,Automatic,6,3465000
264,Lagos,foreign,131482,5,2013,Toyota,Highlander,Automatic,7,7825000
265,Lagos,foreign,62960,5,2016,Lexus,RX 350,Automatic,4,17395000
266,Lagos,foreign,35986,5,2016,Lexus,RX 350,Automatic,4,17065000
267,Lagos,foreign,105271,4.9,2011,Ford,Escape,Automatic,9,3062500
268,Lagos,foreign,96744,5,2012,Toyota,Corolla,Automatic,8,3975000
269,Lagos,foreign,42783,5,2018,Lexus,GX 460,Automatic,2,35215000
270,Lagos,foreign,73262,5,2016,Mercedes-Benz,C 180,Automatic,4,15195000
271,Lagos,foreign,50,,2007,Toyota,Camry,Automatic,13,3120000
272,Lagos,foreign,78358,,2009,Lexus,RX 350,Automatic,11,4745000
273,Lagos,foreign,133226,4.7,2012,Mercedes-Benz,ML 350,Automatic,8,11565000
274,Lagos,foreign,85759,5,2011,Toyota,Camry,Automatic,9,4525000
275,Lagos,foreign,78429,4.9,2008,Acura,MDX,Automatic,12,3465000
276,Lagos,foreign,99340,4.8,2007,Infiniti,M35,Automatic,13,3465000
277,Lagos,foreign,91495,4.8,2013,Toyota,Corolla,Automatic,7,3975000
278,Lagos,foreign,72093,4.9,2011,Hyundai,Sonata,Automatic,9,3425000
280,Lagos,foreign,14498,5,2018,Lexus,LX 570,Automatic,2,53365000
281,Lagos,foreign,275338,4.9,2004,Lexus,RX 330,Automatic,16,3865000
282,Lagos,foreign,61807,4.9,2007,Lexus,ES 350,Automatic,13,4855000
283,Lagos,foreign,42750,5,2016,Toyota,Land Cruiser,Automatic,4,29935000
284,Lagos,foreign,132000,5,2016,Lexus,GX 460,Automatic,4,23115000
285,Lagos,foreign,133295,4.9,2007,Lexus,ES 350,Automatic,13,4855000
286,Lagos,foreign,144000,4.9,2013,Toyota,Corolla,Automatic,7,3350000
287,Lagos,foreign,151948,4.9,2007,Toyota,Camry,Automatic,13,3005000
288,Lagos,foreign,119404,4.5,2011,Ford,Explorer,Automatic,9,5405000
289,Lagos,foreign,2700,4.8,2020,Toyota,Corolla,Automatic,0,16515000
290,Lagos,foreign,47702,4.8,2015,Toyota,Venza,Automatic,5,8265000
291,Lagos,foreign,89361,5,2014,Toyota,Sienna,Automatic,6,7715000
292,Lagos,foreign,131898,4.9,2013,Land,Rover Range Rover Sport,Automatic,7,10465000
293,Lagos,foreign,57655,4.9,2010,Audi,Q7,Automatic,10,10465000
294,Lagos,foreign,115336,4.8,2011,Toyota,Sienna,Automatic,9,7165000
295,Lagos,foreign,153006,4.9,2015,Toyota,Avalon,Automatic,5,9365000
296,Lagos,foreign,44293,5,2016,Mercedes-Benz,GLE 400,Automatic,4,23115000
297,Lagos,foreign,58446,5,2013,Land,Rover Range Rover Evoque,Automatic,7,12115000
298,Lagos,foreign,97573,4.9,2013,Hyundai,Accent,Automatic,7,3108500
299,Lagos,foreign,19075,5,2016,Mercedes-Benz,GLE 63 AMG,Automatic,4,49515000
